id,name,supercategory,category,grams,calories,proteins,fat,satfat,fiber,carbs,caloriescategory
11327,Artificially sweetened carbonated drinks,Drinks,Beverages,100,1,0,0,0,0,0,1-100 calories
11328,Club soda,Drinks,Beverages,100,1,0,0,0,0,0,1-100 calories
11333,Coffee,Drinks,Beverages,100,1,0,0,0,0,0.4,1-100 calories
11334,Tea,Drinks,Beverages,100,2,0,0,0,0,0.4,1-100 calories
11331,Ginger ale,Drinks,Beverages,100,30,0,0,0,0,8.1,1-100 calories
11329,Cola drinks,Drinks,Beverages,100,40,0,0,0,0,11.0,1-100 calories
11332,Root beer,Drinks,Beverages,100,40,0,0,0,0,10.1,1-100 calories
11330,Fruit flavored soda,Drinks,Beverages,100,47,0,0,0,0,12.1,1-100 calories
11323,Beer,Drinks,Beverages,100,48,0,0,0,0,1.7,1-100 calories
11325,Wines,Drinks,Beverages,100,137,0,0,0,0,7.5,101-200 calories
11324,Gin,Drinks,Beverages,100,250,0,0,0,0,0,201-300 calories
11232,Farina,Food,Cereal Products,100,44,1.3,0,0,3.4,9.2,1-100 calories
11228,Cooked corn grits,Food,Cereal Products,100,50,3.3,0,0,0.1,11.2,1-100 calories
11240,Oatmeal,Food,Cereal Products,100,64,2.1,1.3,0.8,1.9,11.0,1-100 calories
11257,Spanish rice,Food,Cereal Products,100,87,1.6,1.6,0,0.5,16.0,1-100 calories
11236,Macaroni,Food,Cereal Products,100,111,3.6,0.7,0,0.1,22.9,101-200 calories
11239,Noodles,Food,Cereal Products,100,125,4.4,1.3,1.3,0.1,23.1,101-200 calories
11226,Corn bread ground meal,Food,Cereal Products,100,200,6.0,8.0,4.0,0.6,30.0,101-200 calories
11241,Pancakes,Food,Cereal Products,100,231,6.5,8.3,0,0.1,25.9,201-300 calories
11222,Rye,Food,Cereal Products,100,239,8.7,4.3,4.3,0.4,52.2,201-300 calories
11243,Pizza,Food,Cereal Products,100,240,10.7,8.0,6.7,0,30.7,201-300 calories
11224,Whole wheat bread,Food,Cereal Products,100,242,10.6,3.1,2.2,14.9,47.6,201-300 calories
11221,Cracked wheat bread,Food,Cereal Products,100,261,8.7,4.3,4.3,0.4,52.2,201-300 calories
11251,Rice polish,Food,Cereal Products,100,264,12.0,12.0,0,2.4,56.0,201-300 calories
